owner,repo,commit
jgagneastro,coffeegrindsize,22661ebd21831dba4cf32bfc6ba59fe3d49f879c
charmfinance,alpha-vaults-contracts,774960877e122da12015878ee3a03dfa58536968
nubank,fklearn,64bd8c728e227387077d3ec32bac1b872acde48e
cdown,srt,ff96458d16e8e9f28315687fbed2bb23b013c6b0
microsoft,agogosml,5e603394f037640b2fb7ddee60be47c569ab48c9
mitmproxy,mitmproxy,385800f07ff31041c0d1394a5cf1bb8b016ef401
yehoshuadimarsky,bcpandas,7c805600cb7d2ba331f541b3b8fc554628e1051e
rsokl,MyGrad,3a09abb4733f56b2e46e6dd047e0c1a76b1a1eb1
torchvideo,torchvideo,64de2377cd78f65086e0d92ac5e9e71b35d805de
pymor,pymor,c01356ae042adf34b2001a77f28c1aeb6b372613
explosion,thinc,256e403d027c63422742f01bc01fcf9ced7acc4f
rsokl,noggin,0f1ef427bc2b4f7bc67957a33c3cf04ecfe2e1ed
EvanKepner,mutatest,3a2d14536f49bd4e8511474cadecd47d2a0c2f3b
python-attrs,attrs,eb49c5375284171bca0d73282c0d8387a513898f
JDASoftwareGroup,kartothek,1821ea5df60d4079d3911b3c2f17be11d8780e22
ffalcinelli,pydivert,f75eba4126c527b5a43ace0a49369c7479cf5ee8
HPAC,linnea,c8fb5d1f64666bf63d35859484a5041ff75dbb90
morpheus65535,bazarr,6e43690ee593352c477e5538c4bdcc7975eeb6a5
pytries,marisa-trie,452c9535e015dedd7ad173afd53d0d2be7ed5e37
python-trio,pytest-trio,cd6cc14b061d34f35980e38c44052108ed5402d1
codeforpdx,recordexpungPDX,b3f8cc1b399cbb08b0852e28d7dd36c204b65e19
fabiommendes,sidekick,993ae7b8496347ad9720d3ff11e10ab946c3a800
curvefi,curve-dao-contracts,567927551903f71ce5a73049e077be87111963cc
ngalongc,openapi_security_scanner,9ba2244bf0e52db6f149243de403c8c7c157216f
FAForever,server,a51df6f5f5d8299952e6412b1c9aa619727d773b
saulzar,multical,d19690d978471ffa8c900af117842b78f1a57e05
Nike-Inc,signal_analog,141a49e40a19566742b43814c069afdc69d28eb0
scrapy-plugins,scrapy-splash,5e4bce34373569a43d7c8edace02185d3065d00f
BBVA,apicheck,8f455e8d3863c56ed75fc5d68df0a52830c7749b
machow,siuba,815f55b1c56b1bca47baf795972d92ff5c7b760d
box,ClusterRunner,55d18016f2c7d2dbb8aec5879459cae654edb045
explosion,spaCy,b3c46c315eb16ce644bddd106d31c3dd349f6bb2
stanford-iprl-lab,torchfilter,4a8a085f6406ec07ce6a701e7d8cb4c62c97a390
Harmon758,Harmonbot,204cdd6e98408dae5ba9fc854aa60378250da35f
maxbachmann,RapidFuzz,bb947243a0d70382f81be36726cd3e62588ef38a
TileDB-Inc,TileDB-Py,96381281ce21ec57b4a1398672c9d9a5d09986c6
rcarriga,vim-ultest,b06bc8715cbcb4aa0444abfd85fb705b659ba055
IQTLabs,squiggle,4244b7ad6c7c859ea3e620a027b72d880367ed93
ptrus,suffix-trees,158218bb6fa4b00e6972ea40d7a1063c06640b26
pimutils,todoman,4b48547c5efa45deb945624cca00f9dc6548f52c
pbrod,numdifftools,4f62e51d4776cc6acbdfb6268482635a487b860c
trhallam,segysak,798307eeaf84b63a71272ba638863c538a814f26
equinor,pyscal,39ef33b7477e2eac59d91aa1b33847f84f13da42
public,sonora,0487aa08a93eb5bae008351e58ea6f19a4fbc5d8
janfreyberg,superintendent,09caeb97be556929cf717104d3cc6b9b078f9f39
OasisLMF,OasisLMF,55cafcc45f85f8739d7a7ee81d43bb32e111be87
corrscope,corrscope,b71bc120eddc9575b2f44d529a38a15db6dc7506
readthedocs,commonmark.py,c9faf447f698c123bf815754f778f8cab044cbaf
aws-cloudformation,cloudformation-cli,a73666d6b38099549c55f674748c095e0ef628ee
curvefi,curve-contract,b0bbf77f8f93c9c5f4e415bce9cd71f0cdee960e
tlsfuzzer,python-ecdsa,ea9666903c109a8e88a37eb1c60d4e98f01f0299
DataDog,dd-trace-py,af9098c4343831d4b8771fe5debd6f99d021eac6
MartinThoma,mpu,b0a8029ca291002a5dcb477d410eff6818d39c58
alethiophile,qtoml,3f9e1b6dc488574948e91631ed8fe5e2e4f86da0
mesalock-linux,mesapy,ed546d59a21b36feb93e2309d5c6b75aa0ad95c9
pgjones,quart,536cf22da6f9594fb971ca0955d4e2319c38a225
lidatong,dataclasses-json,dc63902eeb5e1c5ce1ea4e078c50e0eb9bc1a541
buguroo,pyknow,48818336f2e9a126f1964f2d8dc22d37ff800fe8
eth-brownie,brownie,22ab739f3894cbf2f0b48ce80c676ec878bbe798
JohnGiorgi,DeCLUTR,b78ac5766d27e1a6cdfadd41cfd2bed57d2ac1c7
facebookresearch,pytext,08754b483421884d2e363f00517ea42e449aec2c
sunpy,sunpy,e67a6391c16cbda816d083bb5010268284c0a525
SEED-platform,seed,3899852122a43addd9541d56dd593c86698b3b41
anibali,dsntnn,779631f80ad13da6332276b69acfc04669e49cbe
lhotse-speech,lhotse,509f4a97ab79a9eaeb8ba377d2a8e4acc794e45b
twisted,pydoctor,02063d30eb6f3246a1ae46789cfbcf5e682ab453
ethereum,py-evm,7738b6af03fda7ed838833affcd5a40ea5417e13
harvardnlp,cascaded-generation,37c624ebef227795f526afa39aa3d6062817f31a
datawire,mdk,8b4ad9aa1e3602f4ec7f3bdd5f2c22abcfe81463
dpath-maintainers,dpath-python,c8722e6b815bedf4e6aaeea9ccc7d6ff3e9b4f84
kragniz,python-etcd3,e58a899579ba416449c4e225b61f039457c8072a
