user,project_name,namespace,url,url_with_commit
dry-python,returns,tests/test_contrib/test_hypothesis/test_laws/test_wrong_custom_type_with_init.py,https://github.com/dry-python/returns/tree/237d45d15005ed16669a92b77a3823c5c6a38ecb,
dry-python,returns,tests/test_contrib/test_hypothesis/test_laws/test_custom_type_with_init.py,https://github.com/dry-python/returns/tree/237d45d15005ed16669a92b77a3823c5c6a38ecb,
dsw,proquint,python/tests/test_encoding.py,https://github.com/dsw/proquint/tree/af91d5bb77c182504a1cda5bdb11b2d3a5edb96a,
ecordell,pymacaroons,tests/property_tests/macaroon_property_tests.py,https://github.com/ecordell/pymacaroons/tree/78c55c1d33a0b23ddc71140a9c999f957d79e9dd,
elmotec,circlify,tests.py,https://github.com/elmotec/circlify/tree/4db4e005108ec56c9d378b5cd4493c32fcf715ca,
emfcamp,Website,tests/test_cfp.py,https://github.com/emfcamp/Website/tree/5d5d93375c9c810766d12a72904d4f8d61881eba,
emfcamp,Website,tests/test_cfp_voting.py,https://github.com/emfcamp/Website/tree/5d5d93375c9c810766d12a72904d4f8d61881eba,
equinor,pyscal,tests/test_wateroil_saturation.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,xtgeo,tests/test_surface/test_new_surface.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,xtgeo,tests/conftest.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,pyscal,tests/test_estimateendpoints.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_gasoil.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_fromtable.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_wateroil.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_wateroil_pc.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,xtgeo,tests/test_xyz/test_points.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,xtgeo,tests/test_grid3d/test_grid_property_roff.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,xtgeo,tests/test_surface/test_file_io.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,pyscal,tests/test_slgof.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_scalrecommendation.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,xtgeo,tests/test_grid3d/test_grid_roff.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,xtgeo,tests/test_grid3d/grid_generator.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,xtgeo,tests/test_grid3d/test_grid_property_grdecl.py,https://github.com/equinor/xtgeo/tree/7179fc700c7740843403c566a069f8b6b67e1ea8,
equinor,pyscal,tests/test_utils_interpolation.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_utils_capillarypressure.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
equinor,pyscal,tests/test_gaswater.py,https://github.com/equinor/pyscal/tree/39ef33b7477e2eac59d91aa1b33847f84f13da42,
ericmjl,nxviz,tests/test_polcart.py,https://github.com/ericmjl/nxviz/tree/3014829a09b0154f4c40ecef1ff0a59fee07f86e,
ericmjl,nxviz,tests/test_geometry.py,https://github.com/ericmjl/nxviz/tree/3014829a09b0154f4c40ecef1ff0a59fee07f86e,
eth-brownie,brownie,tests/test/strategies/test_contract_strategy.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_integers.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/stateful/test_rule.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_array.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/stateful/test_setup.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/test/strategies.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/test/__init__.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/test/plugin.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/_config.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_string.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/test/stateful.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,brownie/test/managers/base.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_decimal.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_tuple.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/network/account/test_get_deployment_address.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/stateful/test_initialize.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_bool.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_address.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/strategies/test_bytes.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/stateful/test_invariant.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
eth-brownie,brownie,tests/test/stateful/conftest.py,https://github.com/eth-brownie/brownie/tree/22ab739f3894cbf2f0b48ce80c676ec878bbe798,
ethereum,py-wasm,tests/core/float-utils/test_float_utils.py,https://github.com/ethereum/py-wasm/tree/41a6d07a620dfc4f590463dd038dffe4efe0c8c6,
ethereum,py-evm,tests/core/numeric-utils/test_integer_squareroot.py,https://github.com/ethereum/py-evm/tree/7738b6af03fda7ed838833affcd5a40ea5417e13,
ethereum,py-wasm,tests/core/parsers/test_floating_point_parsers.py,https://github.com/ethereum/py-wasm/tree/41a6d07a620dfc4f590463dd038dffe4efe0c8c6,
ethereum,web3.py,tests/core/caching-utils/test_generate_cache_key.py,https://github.com/ethereum/web3.py/tree/0b6239f89c934d3c81d18d2c39747f1fd21cab88,
ethereum,trinity,tests/core/utils/test_root_tracker.py,https://github.com/ethereum/trinity/tree/6383280c5044feb06695ac2f7bc1100b7bcf4fe0,
ethereum,py-evm,tests/database/test_eth1_chaindb.py,https://github.com/ethereum/py-evm/tree/7738b6af03fda7ed838833affcd5a40ea5417e13,
ethereum,eth-abi,eth_abi/tools/_strategies.py,https://github.com/ethereum/eth-abi/tree/bbf60c26fd43c5019b77716991056f278677881b,
ethereum,trinity,tests/p2p/test_utils.py,https://github.com/ethereum/trinity/tree/6383280c5044feb06695ac2f7bc1100b7bcf4fe0,
ethereum,py-trie,trie/tools/strategies.py,https://github.com/ethereum/py-trie/tree/d92445c201c1552906c4a1551c1ca703883aef2e,
ethereum,eth-account,tests/integration/test_ethers_fuzzing.py,https://github.com/ethereum/eth-account/tree/914388b321cb57d417a4edb72148a889e54b978c,
ethereum,eth-account,tests/core/test_accounts.py,https://github.com/ethereum/eth-account/tree/914388b321cb57d417a4edb72148a889e54b978c,
ethereum,web3.py,tests/core/utilities/test_math.py,https://github.com/ethereum/web3.py/tree/0b6239f89c934d3c81d18d2c39747f1fd21cab88,
